title,company,location,url,scraped_at
AI Solutions Advocate,Labelbox,San Francisco Bay Area,https://www.linkedin.com/jobs/view/4246135945/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=dWN8%2BPhPTPm0MDTBYBKFmQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Agentic AI Thought Leader,Yochana,United States,https://www.linkedin.com/jobs/view/4242948670/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=JU%2BADs1tigKDpkGIt%2BW9qA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Agentic AI Thought Leader,Yochana,United States,URL not found,2025-06-12
Human Frontier Collective Fellow - Finance,Scale AI,"Seattle, WA",https://www.linkedin.com/jobs/view/4232098481/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=dYzkTjowHWaVjg%2FkFK99HA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
AI Japanese Tutor,xAI,United States,https://www.linkedin.com/jobs/view/4103790100/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=KgweZ8NOFT%2FhB9cwN3%2BbTg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
AI Japanese Tutor,xAI,United States,URL not found,2025-06-12
AI Analyst (Data Science + AI),Jacobs,"Dallas, TX",https://www.linkedin.com/jobs/view/4246121682/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=%2F%2B0JxaaSvLkbI4seGpzbVQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
GenAI Architect,Tekgence Inc,"Jersey City, NJ",https://www.linkedin.com/jobs/view/4243909118/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=WygfqwWSUqMxSv1si2sQbQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
GenAI Architect,Tekgence Inc,"Jersey City, NJ",URL not found,2025-06-12
Lead UX Product Designer (AI/VR experience required),Seneca Resources,"Malvern, PA",https://www.linkedin.com/jobs/view/4247546942/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=huhChRxuPx5JTrvlCbEESg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Lead UX Product Designer (AI/VR experience required),Seneca Resources,"Malvern, PA",URL not found,2025-06-12
"Data, AI, and Digital Experience Advisory Presales Lead",Avanade,"Detroit, MI",https://www.linkedin.com/jobs/view/4243957369/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=CniFNkvSrQtvC4b%2BaAowyg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Technical Writer,Motion Recruitment,United States,https://www.linkedin.com/jobs/view/4245541503/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=7ga3WafFsZ%2BEfw6mFuP30Q%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Technical Writer,Motion Recruitment,United States,URL not found,2025-06-12
General Counsel (Remote),Quora,United States,https://www.linkedin.com/jobs/view/4245823706/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=OMVljZPqdaYqEkYTNek4nA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Generative AI Specialist,Hexaware Technologies,"Jersey City, NJ",https://www.linkedin.com/jobs/view/4247491038/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=cjs7WtP0npZkH5hyKkNgGQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Generative AI Specialist,Hexaware Technologies,"Jersey City, NJ",URL not found,2025-06-12
Generative AI Engineer (Remote),Jobot,"Seattle, WA",https://www.linkedin.com/jobs/view/4246335415/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=qfmngmR%2F7KA%2F8KDcrUCPOw%3D%3D&trackingId=siiWAtszRSB8ZWs6%2FIE6vQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
